													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Ralbag on I Chronicles	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on 1 Chronicles,Gersonides on 1Ch.,Gersonides on 1 Chron,Gersonides on 1 Chr,Gersonides on Chronicles I,Gersonides on I Chr,Gersonides on 1 Chron.,Gersonides on I Chr.,Gersonides on I Divrei HaYamim,Gersonides on Divrei HaYamim I,Gersonides on Divrei HaYamim Aleph,Gersonides on First Chronicles,Gersonides on 1Ch,Gersonides on I Divrei Ha-yamim,Gersonides on I Divrei Ha-Yamim,Gersonides on I Chronicles,Ralbag on 1 Chronicles,Ralbag on 1Ch.,Ralbag on 1 Chron,Ralbag on 1 Chr,Ralbag on Chronicles I,Ralbag on I Chr,Ralbag on 1 Chron.,Ralbag on I Chr.,Ralbag on I Divrei HaYamim,Ralbag on Divrei HaYamim I,Ralbag on Divrei HaYamim Aleph,Ralbag on First Chronicles,Ralbag on 1Ch,Ralbag on I Divrei Ha-yamim,Ralbag on I Divrei Ha-Yamim	רלב"ג על דברי הימים א	רלב"ג על דברי הימים א׳,רלב"ג על דברי בימים א'	Commentary,Tanach,Writings,I Chronicles
Ralbag on I Kings	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on I Melachim,Gersonides on Melachim Aleph,Gersonides on Kings I,Gersonides on Melachim I,Gersonides on 1 Kings,Gersonides on First Kings,Gersonides on I Melakhim,Gersonides on I Kings,Ralbag on I Melachim,Ralbag on Melachim Aleph,Ralbag on Kings I,Ralbag on Melachim I,Ralbag on 1 Kings,Ralbag on First Kings,Ralbag on I Melakhim	רלב"ג על מלכים א	רלב"ג על מ״א,רלב"ג על מ"א,רלב"ג על מלכים א׳,רלב"ג על מלכים א'	Commentary,Tanach,Prophets,I Kings
Ralbag on I Samuel	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on I Sam.,Gersonides on 1Sam.,Gersonides on First Samuel,Gersonides on Shmuel Aleph,Gersonides on 1Sam,Gersonides on I Shmuel,Gersonides on Samuel I,Gersonides on Shmuel I,Gersonides on 1 Samuel,Gersonides on I Sam,Gersonides on I Shemuel,Gersonides on I Samuel,Ralbag on I Sam.,Ralbag on 1Sam.,Ralbag on First Samuel,Ralbag on Shmuel Aleph,Ralbag on 1Sam,Ralbag on I Shmuel,Ralbag on Samuel I,Ralbag on Shmuel I,Ralbag on 1 Samuel,Ralbag on I Sam,Ralbag on I Shemuel	רלב"ג על שמואל א	רלב"ג על ש״א,רלב"ג על ש"א,רלב"ג על שמואל א׳,רלב"ג על שמואל א'	Commentary,Tanach,Prophets,I Samuel
Ralbag on II Chronicles	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on 2 Chronicles,Gersonides on II Divrei HaYamim,Gersonides on Second Chronicles,Gersonides on 2 Chron,Gersonides on 2 Chron.,Gersonides on 2Ch.,Gersonides on II Chr.,Gersonides on Chronicles II,Gersonides on 2Ch,Gersonides on II Chr,Gersonides on 2 Chr,Gersonides on Divrei HaYamim II,Gersonides on Divrei HaYamim Bet,Gersonides on II Divrei Ha-yamim,Gersonides on II Divrei Ha-Yamim,Gersonides on II Chronicles,Ralbag on 2 Chronicles,Ralbag on II Divrei HaYamim,Ralbag on Second Chronicles,Ralbag on 2 Chron,Ralbag on 2 Chron.,Ralbag on 2Ch.,Ralbag on II Chr.,Ralbag on Chronicles II,Ralbag on 2Ch,Ralbag on II Chr,Ralbag on 2 Chr,Ralbag on Divrei HaYamim II,Ralbag on Divrei HaYamim Bet,Ralbag on II Divrei Ha-yamim,Ralbag on II Divrei Ha-Yamim	רלב"ג על דברי הימים ב	רלב"ג על דברי הימים ב׳,רלב"ג על דברי הימים ב'	Commentary,Tanach,Writings,II Chronicles
Ralbag on II Kings	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on Melachim Bet,Gersonides on Melachim II,Gersonides on Second Kings,Gersonides on 2 Kings,Gersonides on II Melachim,Gersonides on Kings II,Gersonides on II Melakhim,Gersonides on II Kings,Ralbag on Melachim Bet,Ralbag on Melachim II,Ralbag on Second Kings,Ralbag on 2 Kings,Ralbag on II Melachim,Ralbag on Kings II,Ralbag on II Melakhim	רלב"ג על מלכים ב	רלב"ג על מ"ב,רלב"ג על מ״ב,רלב"ג על מלכים ב׳,רלב"ג על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Ralbag on II Samuel	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on 2Sam,Gersonides on Second Samuel,Gersonides on Shmuel Bet,Gersonides on Shmuel II,Gersonides on Samuel II,Gersonides on 2 Sam,Gersonides on II Shmuel,Gersonides on II Sam.,Gersonides on II Sam,Gersonides on 2Sam.,Gersonides on 2 Samuel,Gersonides on II Shemuel,Gersonides on II Samuel,Ralbag on 2Sam,Ralbag on Second Samuel,Ralbag on Shmuel Bet,Ralbag on Shmuel II,Ralbag on Samuel II,Ralbag on 2 Sam,Ralbag on II Shmuel,Ralbag on II Sam.,Ralbag on II Sam,Ralbag on 2Sam.,Ralbag on 2 Samuel,Ralbag on II Shemuel	רלב"ג על שמואל ב	רלב"ג על ש״ב,רלב"ג על ש"ב,רלב"ג על שמואל ב׳,רלב"ג על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Ralbag on Job	Ralbag			1325		Provence, France	1477	Ferrara	Rishonim	Gersonides on Iyov,Gersonides on Job,Ralbag on Iyov	רלב"ג על איוב		Commentary,Tanach,Writings,Job
Ralbag on Joshua	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on Jos,Gersonides on Yehoshua,Gersonides on Jos.,Gersonides on Josh,Gersonides on Josh.,Gersonides on Joshua,Ralbag on Jos,Ralbag on Yehoshua,Ralbag on Jos.,Ralbag on Josh,Ralbag on Josh.	רלב"ג על יהושע		Commentary,Tanach,Prophets,Joshua
Ralbag on Judges	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on Shoftim,Gersonides on Jdg,Gersonides on Judg,Gersonides on Jdg.,Gersonides on Judg.,Gersonides on Judges,Ralbag on Shoftim,Ralbag on Jdg,Ralbag on Judg,Ralbag on Jdg.,Ralbag on Judg.	רלב"ג על שופטים		Commentary,Tanach,Prophets,Judges
Ralbag on Nehemiah	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on Neh.,Gersonides on Neh,Gersonides on Nehemiah,Ralbag on Neh.,Ralbag on Neh	רלב"ג על נחמיה		Commentary,Tanach,Writings,Nehemiah
Ralbag on Proverbs	Ralbag					Provence, France	1480	Mantua	Rishonim	Gersonides on Prov,Gersonides on Pro,Gersonides on Prov.,Gersonides on Mishlei,Gersonides on Pro.,Gersonides on Proverbs,Ralbag on Prov,Ralbag on Pro,Ralbag on Prov.,Ralbag on Mishlei,Ralbag on Pro.	רלב"ג על משלי		Commentary,Tanach,Writings,Proverbs
Ramban on Deuteronomy	Ramban			1266	20	Middle-Age Spain	1480	Bologna	Rishonim	Nachmanides on Deu.,Nachmanides on Devarim,Nachmanides on Deu,Nachmanides on Deut.,Nachmanides on Deut,Nachmanides on Deuteronomy,Rabbi Moshe Ben Nachman on Deu.,Rabbi Moshe Ben Nachman on Devarim,Rabbi Moshe Ben Nachman on Deu,Rabbi Moshe Ben Nachman on Deut.,Rabbi Moshe Ben Nachman on Deut,Rabbi Moshe Ben Nachman on Deuteronomy,Ramban on Deu.,Ramban on Devarim,Ramban on Deu,Ramban on Deut.,Ramban on Deut	רמב"ן על דברים		Commentary,Tanach,Torah,Deuteronomy
Ramban on Exodus	Ramban			1266	20	Middle-Age Spain	1480	Bologna	Rishonim	Nachmanides on Exod.,Nachmanides on Ex.,Nachmanides on Exo,Nachmanides on Shmot,Nachmanides on Shemot,Nachmanides on Ex,Nachmanides on Exo.,Nachmanides on Exod,Nachmanides on Exodus,Rabbi Moshe Ben Nachman on Exod.,Rabbi Moshe Ben Nachman on Ex.,Rabbi Moshe Ben Nachman on Exo,Rabbi Moshe Ben Nachman on Shmot,Rabbi Moshe Ben Nachman on Shemot,Rabbi Moshe Ben Nachman on Ex,Rabbi Moshe Ben Nachman on Exo.,Rabbi Moshe Ben Nachman on Exod,Rabbi Moshe Ben Nachman on Exodus,Ramban on Exod.,Ramban on Ex.,Ramban on Exo,Ramban on Shmot,Ramban on Shemot,Ramban on Ex,Ramban on Exo.,Ramban on Exod	רמב"ן על שמות		Commentary,Tanach,Torah,Exodus
Ramban on Genesis	Ramban			1266	20	Middle-Age Spain	1480	Bologna	Rishonim	Nachmanides on Bereshit,Nachmanides on Gen,Nachmanides on Gen.,Nachmanides on Breishit,Nachmanides on Ber,Nachmanides on Bereishit,Nachmanides on Ber.,Nachmanides on Genesis,Rabbi Moshe Ben Nachman on Bereshit,Rabbi Moshe Ben Nachman on Gen,Rabbi Moshe Ben Nachman on Gen.,Rabbi Moshe Ben Nachman on Breishit,Rabbi Moshe Ben Nachman on Ber,Rabbi Moshe Ben Nachman on Bereishit,Rabbi Moshe Ben Nachman on Ber.,Rabbi Moshe Ben Nachman on Genesis,Ramban on Bereshit,Ramban on Gen,Ramban on Gen.,Ramban on Breishit,Ramban on Ber,Ramban on Bereishit,Ramban on Ber.	רמב"ן על בראשית		Commentary,Tanach,Torah,Genesis
Ramban on Leviticus	Ramban			1266	20	Middle-Age Spain	1480	Bologna	Rishonim	Nachmanides on Vayikra,Nachmanides on Lev.,Nachmanides on Lev,Nachmanides on Leviticus,Rabbi Moshe Ben Nachman on Vayikra,Rabbi Moshe Ben Nachman on Lev.,Rabbi Moshe Ben Nachman on Lev,Rabbi Moshe Ben Nachman on Leviticus,Ramban on Vayikra,Ramban on Lev.,Ramban on Lev	רמב"ן על ויקרא		Commentary,Tanach,Torah,Leviticus
Ramban on Numbers	Ramban			1266	20	Middle-Age Spain	1480	Bologna	Rishonim	Nachmanides on Num.,Nachmanides on Num,Nachmanides on Bamidbar,Nachmanides on Bemidbar,Nachmanides on Numbers,Rabbi Moshe Ben Nachman on Num.,Rabbi Moshe Ben Nachman on Num,Rabbi Moshe Ben Nachman on Bamidbar,Rabbi Moshe Ben Nachman on Bemidbar,Rabbi Moshe Ben Nachman on Numbers,Ramban on Num.,Ramban on Num,Ramban on Bamidbar,Ramban on Bemidbar	רמב"ן על במדבר		Commentary,Tanach,Torah,Numbers
Rashbam on Deuteronomy	Rashbam			1100		Middle-Age France	1705	Berlin	Rishonim	Shumel ben Meir on Deu.,Shumel ben Meir on Devarim,Shumel ben Meir on Deu,Shumel ben Meir on Deut.,Shumel ben Meir on Deut,Shumel ben Meir on Deuteronomy,Samuel ben Meir on Deu.,Samuel ben Meir on Devarim,Samuel ben Meir on Deu,Samuel ben Meir on Deut.,Samuel ben Meir on Deut,Samuel ben Meir on Deuteronomy,Rashbam on Deu.,Rashbam on Devarim,Rashbam on Deu,Rashbam on Deut.,Rashbam on Deut	רשב"ם על דברים		Commentary,Tanach,Torah,Deuteronomy
Rashbam on Exodus	Rashbam			1100		Middle-Age France	1705	Berlin	Rishonim	Shumel ben Meir on Exod.,Shumel ben Meir on Ex.,Shumel ben Meir on Exo,Shumel ben Meir on Shmot,Shumel ben Meir on Shemot,Shumel ben Meir on Ex,Shumel ben Meir on Exo.,Shumel ben Meir on Exod,Shumel ben Meir on Exodus,Samuel ben Meir on Exod.,Samuel ben Meir on Ex.,Samuel ben Meir on Exo,Samuel ben Meir on Shmot,Samuel ben Meir on Shemot,Samuel ben Meir on Ex,Samuel ben Meir on Exo.,Samuel ben Meir on Exod,Samuel ben Meir on Exodus,Rashbam on Exod.,Rashbam on Ex.,Rashbam on Exo,Rashbam on Shmot,Rashbam on Shemot,Rashbam on Ex,Rashbam on Exo.,Rashbam on Exod	רשב"ם על שמות		Commentary,Tanach,Torah,Exodus
Rashbam on Genesis	Rashbam			1100		Middle-Age France	1705	Berlin	Rishonim	Shumel ben Meir on Bereshit,Shumel ben Meir on Gen,Shumel ben Meir on Gen.,Shumel ben Meir on Breishit,Shumel ben Meir on Ber,Shumel ben Meir on Bereishit,Shumel ben Meir on Ber.,Shumel ben Meir on Genesis,Samuel ben Meir on Bereshit,Samuel ben Meir on Gen,Samuel ben Meir on Gen.,Samuel ben Meir on Breishit,Samuel ben Meir on Ber,Samuel ben Meir on Bereishit,Samuel ben Meir on Ber.,Samuel ben Meir on Genesis,Rashbam on Bereshit,Rashbam on Gen,Rashbam on Gen.,Rashbam on Breishit,Rashbam on Ber,Rashbam on Bereishit,Rashbam on Ber.	רשב"ם על בראשית		Commentary,Tanach,Torah,Genesis
Rashbam on Leviticus	Rashbam			1100		Middle-Age France	1705	Berlin	Rishonim	Shumel ben Meir on Vayikra,Shumel ben Meir on Lev.,Shumel ben Meir on Lev,Shumel ben Meir on Leviticus,Samuel ben Meir on Vayikra,Samuel ben Meir on Lev.,Samuel ben Meir on Lev,Samuel ben Meir on Leviticus,Rashbam on Vayikra,Rashbam on Lev.,Rashbam on Lev	רשב"ם על ויקרא		Commentary,Tanach,Torah,Leviticus
Rashbam on Numbers	Rashbam			1100		Middle-Age France	1705	Berlin	Rishonim	Shumel ben Meir on Num.,Shumel ben Meir on Num,Shumel ben Meir on Bamidbar,Shumel ben Meir on Bemidbar,Shumel ben Meir on Numbers,Samuel ben Meir on Num.,Samuel ben Meir on Num,Samuel ben Meir on Bamidbar,Samuel ben Meir on Bemidbar,Samuel ben Meir on Numbers,Rashbam on Num.,Rashbam on Num,Rashbam on Bamidbar,Rashbam on Bemidbar	רשב"ם על במדבר		Commentary,Tanach,Torah,Numbers
Rashi on Amos	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim		רש"י על עמוס		Commentary,Tanach,Prophets,Amos
Rashi on Daniel	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Dan.,Rashi on Dan	רש"י על דניאל		Commentary,Tanach,Writings,Daniel
Rashi on Deuteronomy	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Deu.,Rashi on Devarim,Rashi on Deu,Rashi on Deut.,Rashi on Deut	רש"י על דברים		Commentary,Tanach,Torah,Deuteronomy
Rashi on Ecclesiastes	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Eccles.,Rashi on Ecc,Rashi on Kohelet,Rashi on Ecc.	רש"י על קהלת		Commentary,Tanach,Writings,Ecclesiastes
Rashi on Esther	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Est.,Rashi on Est,Rashi on Ester	רש"י על אסתר		Commentary,Tanach,Writings,Esther
Rashi on Exodus	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Exod.,Rashi on Ex.,Rashi on Exo,Rashi on Shmot,Rashi on Shemot,Rashi on Ex,Rashi on Exo.,Rashi on Exod	רש"י על שמות		Commentary,Tanach,Torah,Exodus
Rashi on Ezekiel	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Ezek,Rashi on Ezek.,Rashi on Yehezkel,Rashi on Yechezkel	רש"י על יחזקאל		Commentary,Tanach,Prophets,Ezekiel
Rashi on Ezra	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Ezr.,Rashi on Ezr	רש"י על עזרא		Commentary,Tanach,Writings,Ezra
Rashi on Genesis	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Bereshit,Rashi on Gen,Rashi on Gen.,Rashi on Breishit,Rashi on Ber,Rashi on Bereishit,Rashi on Ber.	רש"י על בראשית		Commentary,Tanach,Torah,Genesis
Rashi on Habakkuk	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Hab.,Rashi on Hab,Rashi on Havakkuk,Rashi on Habakuk	רש"י על חבקוק		Commentary,Tanach,Prophets,Habakkuk
Rashi on Haggai	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Chaggai,Rashi on Hag,Rashi on Hag.	רש"י על חגי		Commentary,Tanach,Prophets,Haggai
Rashi on Hosea	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Hos.,Rashi on Hos,Rashi on Hoshea	רש"י על הושע		Commentary,Tanach,Prophets,Hosea
Rashi on I Chronicles	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on 1 Chronicles,Rashi on 1Ch.,Rashi on 1 Chron,Rashi on 1 Chr,Rashi on Chronicles I,Rashi on I Chr,Rashi on 1 Chron.,Rashi on I Chr.,Rashi on I Divrei HaYamim,Rashi on Divrei HaYamim I,Rashi on Divrei HaYamim Aleph,Rashi on First Chronicles,Rashi on 1Ch,Rashi on I Divrei Ha-yamim,Rashi on I Divrei Ha-Yamim	רש"י על דברי הימים א	רש"י על דברי הימים א׳,רש"י על דברי בימים א'	Commentary,Tanach,Writings,I Chronicles
Rashi on I Kings	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on I Melachim,Rashi on Melachim Aleph,Rashi on Kings I,Rashi on Melachim I,Rashi on 1 Kings,Rashi on First Kings,Rashi on I Melakhim	רש"י על מלכים א	רש"י על מ״א,רש"י על מ"א,רש"י על מלכים א׳,רש"י על מלכים א'	Commentary,Tanach,Prophets,I Kings
Rashi on I Samuel	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on I Sam.,Rashi on 1Sam.,Rashi on First Samuel,Rashi on Shmuel Aleph,Rashi on 1Sam,Rashi on I Shmuel,Rashi on Samuel I,Rashi on Shmuel I,Rashi on 1 Samuel,Rashi on I Sam,Rashi on I Shemuel	רש"י על שמואל א	רש"י על ש״א,רש"י על ש"א,רש"י על שמואל א׳,רש"י על שמואל א'	Commentary,Tanach,Prophets,I Samuel
Rashi on II Chronicles	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on 2 Chronicles,Rashi on II Divrei HaYamim,Rashi on Second Chronicles,Rashi on 2 Chron,Rashi on 2 Chron.,Rashi on 2Ch.,Rashi on II Chr.,Rashi on Chronicles II,Rashi on 2Ch,Rashi on II Chr,Rashi on 2 Chr,Rashi on Divrei HaYamim II,Rashi on Divrei HaYamim Bet,Rashi on II Divrei Ha-yamim,Rashi on II Divrei Ha-Yamim	רש"י על דברי הימים ב	רש"י על דברי הימים ב׳,רש"י על דברי הימים ב'	Commentary,Tanach,Writings,II Chronicles
Rashi on II Kings	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Melachim Bet,Rashi on Melachim II,Rashi on Second Kings,Rashi on 2 Kings,Rashi on II Melachim,Rashi on Kings II,Rashi on II Melakhim	רש"י על מלכים ב	רש"י על מ"ב,רש"י על מ״ב,רש"י על מלכים ב׳,רש"י על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Rashi on II Samuel	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on 2Sam,Rashi on Second Samuel,Rashi on Shmuel Bet,Rashi on Shmuel II,Rashi on Samuel II,Rashi on 2 Sam,Rashi on II Shmuel,Rashi on II Sam.,Rashi on II Sam,Rashi on 2Sam.,Rashi on 2 Samuel,Rashi on II Shemuel	רש"י על שמואל ב	רש"י על ש״ב,רש"י על ש"ב,רש"י על שמואל ב׳,רש"י על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Rashi on Isaiah	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Isa.,Rashi on Yishayahu,Rashi on Isa	רש"י על ישעיהו	רש"י על ישעיה	Commentary,Tanach,Prophets,Isaiah
Rashi on Jeremiah	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Yirmiyahu,Rashi on Jer,Rashi on Jer.	רש"י על ירמיהו	רש"י על ירמיה	Commentary,Tanach,Prophets,Jeremiah
Rashi on Job	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Iyov	רש"י על איוב		Commentary,Tanach,Writings,Job
Rashi on Joel	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Yoel	רש"י על יואל		Commentary,Tanach,Prophets,Joel
Rashi on Jonah	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Yonah,Rashi on Jon.,Rashi on Jon	רש"י על יונה		Commentary,Tanach,Prophets,Jonah
Rashi on Joshua	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Jos,Rashi on Yehoshua,Rashi on Jos.,Rashi on Josh,Rashi on Josh.	רש"י על יהושע		Commentary,Tanach,Prophets,Joshua
Rashi on Judges	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Shoftim,Rashi on Jdg,Rashi on Judg,Rashi on Jdg.,Rashi on Judg.	רש"י על שופטים		Commentary,Tanach,Prophets,Judges
Rashi on Lamentations	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Lam,Rashi on Lam.,Rashi on Eichah	רש"י על איכה		Commentary,Tanach,Writings,Lamentations
Rashi on Leviticus	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Vayikra,Rashi on Lev.,Rashi on Lev	רש"י על ויקרא		Commentary,Tanach,Torah,Leviticus
Rashi on Malachi	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Mal.,Rashi on Mal	רש"י על מלאכי		Commentary,Tanach,Prophets,Malachi
Rashi on Micah	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Mic.,Rashi on Mic,Rashi on Mikha	רש"י על מיכה		Commentary,Tanach,Prophets,Micah
Rashi on Nahum	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Nah.,Rashi on Nah	רש"י על נחום		Commentary,Tanach,Prophets,Nahum
Rashi on Nehemiah	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Neh.,Rashi on Neh	רש"י על נחמיה		Commentary,Tanach,Writings,Nehemiah
Rashi on Numbers	Rashi			1000		Middle-Age France	1476	Guadalajara, Spain	Rishonim	Rashi on Num.,Rashi on Num,Rashi on Bamidbar,Rashi on Bemidbar	רש"י על במדבר		Commentary,Tanach,Torah,Numbers
